tracklet_id,frames,delta_S_within_track_pp,delta_P_within_track_pp,contribution_to_global_delta_S_pp,contribution_to_global_delta_P_pp
87,30,1.6666667101283867,5.416666567325592,0.021881838645011642,0.07111597243753512
7,16,4.375000111758709,9.375000081490725,0.03063457408671306,0.06564551479380815
32,10,12.499999105930328,14.000000227242708,0.05470459127321807,0.061269147602812726
92,23,0.43478235602378845,5.000000114998092,0.004376365071574238,0.050328228728646
73,14,8.21428575686046,8.214285849992718,0.05032822783196781,0.05032822840258121
62,26,-0.3846152757222836,4.32692295513474,-0.004376366375833424,0.04923413428162068
8,12,5.00000015211602,9.166666368643442,0.026258206488136652,0.048140042198565124
2,8,13.124999031424522,13.125000218860805,0.045951856565162444,0.045951860722488594
10,7,11.42857117312295,15.00000014368977,0.035010940136481684,0.0459518603964238
16,17,1.764705075937159,4.70588244497776,0.013129096845046697,0.03501094160377327
71,10,5.999999940395355,7.500000074505806,0.02625820542842606,0.03282275743766217
20,8,9.37499888241291,8.75000017695129,0.03282275319881982,0.03063457392368066
29,20,1.2499995529651642,2.7500000409781933,0.010940915124421568,0.024070022240509352
13,26,0.3846154691508183,1.8269232259346888,0.004376368576770799,0.02078774786621528
18,6,7.499999801317851,6.666666766007741,0.01969365374525475,0.017505470720370436
72,6,5.833334724108378,5.8333334513008595,0.015317290304004494,0.01531728696184033
6,21,1.6666669221151442,1.6666666915019352,0.01531728899974531,0.015317286880324132
14,31,1.9354840440134848,0.967742009989677,0.026258208036944432,0.013129103855439818
34,4,6.25000037252903,5.000000121071935,0.010940919689328718,0.008752735441701418
90,24,1.04166679084301,0.7291662196318308,0.01094092034145831,0.007658638630706319
52,5,3.999999165534973,3.0000000819563866,0.00875273340379644,0.006564551601655113
21,2,0.0,2.5000001303851604,0.0,0.0021881839215625036
3,3,5.000000198682149,1.6666666915019352,0.006564551683171312,0.0021881838400463044
4,2,2.4999991059303284,2.500000037252903,0.0021881830248843136,0.0021881838400463044
58,3,5.000000198682149,1.6666666915019352,0.006564551683171312,0.0021881838400463044
12,2,0.0,2.4999991059303284,0.0,0.0021881830248843136
24,16,0.0,0.0,0.0,0.0
27,1,0.0,0.0,0.0,0.0
31,1,0.0,0.0,0.0,0.0
33,1,0.0,0.0,0.0,0.0
42,1,0.0,0.0,0.0,0.0
43,11,0.0,0.0,0.0,0.0
50,33,0.0,0.0,0.0,0.0
67,39,0.0,0.0,0.0,0.0
91,2,7.500000111758709,0.0,0.006564551520138914,0.0
38,8,-1.249999925494194,-0.624999962747097,-0.004376367354027813,-0.0021881836770139065
40,5,0.9999996423721313,-0.9999999403953552,0.0021881830248843136,-0.0021881836770139065
46,4,1.2499995529651642,-1.2500000651925802,0.0021881830248843136,-0.0021881839215625036
54,15,0.33333341280619305,-0.3333334003885587,0.002188184329143499,-0.0021881842476273
39,6,-3.333333134651184,-1.6666666915019352,-0.008752734708055626,-0.004376367680092609
44,4,2.5000005960464478,-2.500000223517418,0.004376368658286998,-0.004376368006157406
48,22,-0.4545457661151886,-0.7954544303092089,-0.0043763706146757765,-0.0076586422174190795
70,28,0.0,-0.8928569299834115,0.0,-0.010940916428680754
11,10,-8.999999463558197,-10.000000055879354,-0.03938730618625032,-0.043763676393345094
51,28,1.9642856504235948,-3.7500000026609217,0.024070021099282562,-0.045951859988842804
15,23,-2.1739127843276314,-5.434782762566338,-0.02188183546587988,-0.05470459673480341
28,28,-1.4285712369850703,-6.428571384666221,-0.017505468111852066,-0.07877461652982679
85,19,-7.10526310691708,-14.47368409288557,-0.059080962376991036,-0.12035010843099599
0,27,-6.111111284957992,-11.851851849092377,-0.07221006769972244,-0.14004376364354232
35,33,-13.93939426563906,-14.166666826967036,-0.2013129149961002,-0.20459518831068368
74,41,-6.707316582522741,-15.853658936372618,-0.12035010060544087,-0.28446390214060274
22,36,-19.861111422586774,-18.124999866510432,-0.31291028937117016,-0.2855579847677792
96,18,-23.055555805977846,-46.24999978890022,-0.18161925799019749,-0.3643326022758004
56,23,-39.782609094096266,-39.239130225842416,-0.40043764077208494,-0.3949671751397705
99,36,-37.91666652282907,-52.43055530202886,-0.5973741771649219,-0.8260393833142402
