arm,completed_epoch,step,metric,value,population,source
b0,4,202748,ct_epoch_core_loss_observation/loss_bc::ct_epoch_core_loss,0.330208957195282,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_bc
b0,1,50687,ct_epoch_core_loss_observation/loss_center::ct_epoch_core_loss,0.109165258705616,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center
b0,2,101374,ct_epoch_core_loss_observation/loss_center::ct_epoch_core_loss,0.07824404537677765,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center
b0,3,152061,ct_epoch_core_loss_observation/loss_center::ct_epoch_core_loss,0.07168307900428772,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center
b0,4,202748,ct_epoch_core_loss_observation/loss_center::ct_epoch_core_loss,0.069615937769413,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center
b0,1,50687,ct_epoch_core_loss_observation/loss_center_aux::ct_epoch_core_loss,0.39351537823677063,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_aux
b0,2,101374,ct_epoch_core_loss_observation/loss_center_aux::ct_epoch_core_loss,0.28812548518180847,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_aux
b0,3,152061,ct_epoch_core_loss_observation/loss_center_aux::ct_epoch_core_loss,0.26459020376205444,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_aux
b0,4,202748,ct_epoch_core_loss_observation/loss_center_aux::ct_epoch_core_loss,0.2573406994342804,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_aux
b0,1,50687,ct_epoch_core_loss_observation/loss_center_motion::ct_epoch_core_loss,0.2379702925682068,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_motion
b0,2,101374,ct_epoch_core_loss_observation/loss_center_motion::ct_epoch_core_loss,0.1633097529411316,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_motion
b0,3,152061,ct_epoch_core_loss_observation/loss_center_motion::ct_epoch_core_loss,0.14692965149879456,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_motion
b0,4,202748,ct_epoch_core_loss_observation/loss_center_motion::ct_epoch_core_loss,0.14060848951339722,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_motion
b0,1,50687,ct_epoch_core_loss_observation/loss_center_ref::ct_epoch_core_loss,0.20012535154819489,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_ref
b0,2,101374,ct_epoch_core_loss_observation/loss_center_ref::ct_epoch_core_loss,0.14019648730754852,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_ref
b0,3,152061,ct_epoch_core_loss_observation/loss_center_ref::ct_epoch_core_loss,0.12967322766780853,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_ref
b0,4,202748,ct_epoch_core_loss_observation/loss_center_ref::ct_epoch_core_loss,0.12584291398525238,all_observation_or_mechanism_transactions,output/20260911-023000-29_b0_perf-nuscenes_car_seed42_60ep_bs16/lightning_logs/version_0/ct_epoch_core_loss_observation/loss_center_ref
