run,tracklet_key,success,precision,mean_iou,mean_center_error,frame_count,empty_fallback_count,failure_count,max_failure_streak,first_failure_frame_index,first_failure_source_frame_index,first_persistent_failure_frame_index,first_persistent_failure_source_frame_index,path_variance_count,path_center_gap_mean,path_yaw_gap_mean
A1,e2878e5b8aa849a18e39baee3f3440bd,60.35714285714284,64.52380952380953,0.6063568029637189,0.7136153711401217,21,0,0,0,,,,,0,,
A1,11a08ff383a6451bbda6b9af56cfa6e2,65.58823529411765,68.82352941176471,0.6518846023145839,0.6237701841772352,17,0,0,0,,,,,0,,
A1,0cfdfb5bbe8a41268271e24f2edefb9c,59.76190476190476,78.80952380952381,0.5951446467245467,0.42165875872469705,21,5,0,0,,,,,0,,
A1,1a018f3bcdea44f9ab60912938495032,7.023809523809524,4.761904761904763,0.047619047619043106,20.808506231258733,21,9,20,20,1,1,1,1,0,,
A1,f987ba5f8e6243889a731f8cffe1934b,52.64705882352941,70.88235294117646,0.5296783090134035,0.5799499220136677,17,0,0,0,,,,,0,,
A1,64b22104a573415a8c860fc22214619c,26.406249999999996,41.40625,0.2592441212288053,1.166712504075646,16,0,0,0,,,,,0,,
A1,98eef3fdea464efd92fb6aaf0ebe8c9a,16.5625,30.78125,0.15947719519748377,1.4839221247805088,16,2,4,4,12,24,12,24,0,,
A1,e5cabb9d6b474377a206feab4ec64d3f,68.33333333333333,87.91666666666667,0.6926397779444509,0.24668228300955106,6,0,0,0,,,,,0,,
A1,64ce64c25d424c3088db384021d8dbb3,79.16666666666667,87.08333333333333,0.7904260024551456,0.23401988844162955,6,0,0,0,,,,,0,,
A1,3eff2b1ecf29497e9967dd21509431fe,54.72222222222221,76.11111111111111,0.5508068422490322,0.4791750644646016,9,0,0,0,,,,,0,,
A1,65acd0cbce474d9cb2eef362a1b279be,60.71428571428571,66.19047619047619,0.6012284535953302,0.6769498392215341,21,2,0,0,,,,,0,,
A1,a9916751b03c494dafa2eddc4496e702,74.10714285714285,78.39285714285714,0.7372594571482042,0.4306341718721479,14,0,0,0,,,,,0,,
A1,bbe3bc5ca1434a2ea802f5ed5062785e,72.11538461538461,78.46153846153847,0.7167788423785275,0.4231639243532196,13,0,0,0,,,,,0,,
A1,6786acf4f6b644639d550c608785320f,37.76315789473686,47.10526315789473,0.377191428207542,1.05692510230869,19,0,0,0,,,,,0,,
A1,856aeb4fa2024f1284c6290a44e9dec5,58.750000000000014,72.125,0.5911038172994059,0.5481993519984305,20,0,0,0,,,,,0,,
A1,29d3fb54f8b746118133456815b12eeb,79.42307692307692,85.76923076923076,0.7974827595580609,0.28580090554817117,13,0,0,0,,,,,0,,
A1,2197057ff31949819b309f2c7ec9a113,64.44444444444444,73.19444444444444,0.6477695794765814,0.5375268168256553,18,0,0,0,,,,,0,,
A1,29f69a7cb2c544c8a5ef26437a48e021,58.23529411764705,77.35294117647058,0.5852451281935004,0.45136924834805225,17,0,0,0,,,,,0,,
