arm,epoch,view0_loss_mean,batches,population
B1+B2,37,0.3334597352197854,1057,B0 observation canonical view0
B1+B2,38,0.3285598536229066,1057,B0 observation canonical view0
B1+B2,39,0.3313190892916754,1057,B0 observation canonical view0
B1+B2,40,0.3237741250076041,1057,B0 observation canonical view0
B1+B2,41,0.32023991715927785,1057,B0 observation canonical view0
B1+B2,42,0.3251974548943616,1057,B0 observation canonical view0
B1+B2,43,0.3223777356484417,1057,B0 observation canonical view0
B1+B2,44,0.3225674188802461,1057,B0 observation canonical view0
B1+B2,45,0.3038469114805181,1057,B0 observation canonical view0
B1+B2,46,0.313320588976032,1057,B0 observation canonical view0
B1+B2,47,0.30938727279125855,1057,B0 observation canonical view0
B1+B2,48,0.3084037501713862,1057,B0 observation canonical view0
B1+B2,49,0.30541410055381574,1057,B0 observation canonical view0
B1+B2,50,0.30451718535954475,1057,B0 observation canonical view0
B1+B2,51,0.31278197940653973,1057,B0 observation canonical view0
B1+B2,52,0.301083606062501,1057,B0 observation canonical view0
B1+B2,53,0.3132118632313826,1057,B0 observation canonical view0
B1+B2,54,0.31303283288130357,1057,B0 observation canonical view0
B1+B2,55,0.3055937291795252,1057,B0 observation canonical view0
B1+B2,56,0.3034893230516587,1057,B0 observation canonical view0
B1+B2,57,0.31359779820649714,1057,B0 observation canonical view0
B1+B2,58,0.3114865305309264,1057,B0 observation canonical view0
B1+B2,59,0.31128215589432806,1057,B0 observation canonical view0
B1+B2,60,0.29674397192564117,1057,B0 observation canonical view0
Full,1,7.362629257065007,1057,B0 observation canonical view0
Full,2,2.6548964598320968,1057,B0 observation canonical view0
Full,3,1.4806921510704305,1057,B0 observation canonical view0
Full,4,1.1744463640840526,1057,B0 observation canonical view0
Full,5,1.0521701192844557,1057,B0 observation canonical view0
Full,6,0.9219678472181255,1057,B0 observation canonical view0
Full,7,0.8894769476414742,1057,B0 observation canonical view0
Full,8,0.8148288541282249,1057,B0 observation canonical view0
Full,9,0.7723217533448449,1057,B0 observation canonical view0
Full,10,0.745695197276327,1057,B0 observation canonical view0
Full,11,0.71166670435199,1057,B0 observation canonical view0
Full,12,0.6542228612354485,1057,B0 observation canonical view0
Full,13,0.6581863993065133,1057,B0 observation canonical view0
Full,14,0.6004597287177476,1057,B0 observation canonical view0
Full,15,0.5722514453820722,1057,B0 observation canonical view0
Full,16,0.596955737368668,1057,B0 observation canonical view0
Full,17,0.5560663772417389,1057,B0 observation canonical view0
Full,18,0.5701075644217354,1057,B0 observation canonical view0
Full,19,0.5282274874785426,1057,B0 observation canonical view0
Full,20,0.5051113215778217,1057,B0 observation canonical view0
Full,21,0.42374663129660356,1057,B0 observation canonical view0
Full,22,0.4030259879466319,1057,B0 observation canonical view0
Full,23,0.38859881696801424,1057,B0 observation canonical view0
Full,24,0.3814976987452753,1057,B0 observation canonical view0
Full,25,0.3862648418097419,1057,B0 observation canonical view0
Full,26,0.3647909157767596,1057,B0 observation canonical view0
Full,27,0.3507913303479566,1057,B0 observation canonical view0
Full,28,0.35689925589900934,1057,B0 observation canonical view0
