run_id,run_label,protocol,time_mode,loss_metric,epoch,batch_points,mean,median,p10,p90
random20_true,random20 · true,random20,true,loss_total,18,1018,0.6135268991553244,0.48531681299209595,0.2758133977651596,1.123913884162903
random20_true,random20 · true,random20,true,loss_total,19,1018,0.6033734862632274,0.46046578884124756,0.25742328763008115,1.1242661952972413
random20_true,random20 · true,random20,true,loss_total,20,1018,0.5724914903607958,0.4517088830471039,0.24633629620075226,1.0613966703414923
random20_true,random20 · true,random20,true,loss_total,21,1018,0.45586839864261025,0.3418669104576111,0.20530471801757813,0.8389302611351014
random20_true,random20 · true,random20,true,loss_total,22,1018,0.4396370494105141,0.32771508395671844,0.195617938041687,0.8260145187377935
random20_true,random20 · true,random20,true,loss_total,23,1018,0.42506672680553614,0.3149423450231552,0.18903974145650865,0.7738237023353581
random20_true,random20 · true,random20,true,loss_total,24,1018,0.4132055623387307,0.3054659068584442,0.18867920637130736,0.7711971879005434
random20_true,random20 · true,random20,true,loss_total,25,1018,0.39954309615586503,0.30172082781791687,0.1895938441157341,0.717783480882645
random20_true,random20 · true,random20,true,loss_total,26,1018,0.39743720475137817,0.2997208684682846,0.1858889326453209,0.7243946611881257
random20_true,random20 · true,random20,true,loss_total,27,1018,0.38681804525623853,0.2901422083377838,0.18600887060165405,0.7160834670066836
random20_true,random20 · true,random20,true,loss_total,28,1018,0.3919397082567683,0.2896748185157776,0.17617489844560624,0.7146092593669894
random20_true,random20 · true,random20,true,loss_total,29,1018,0.3731259179826687,0.28812189400196075,0.17033665478229523,0.6638204872608185
random20_true,random20 · true,random20,true,loss_total,30,1018,0.38711003166548397,0.2841869592666626,0.17673242688179017,0.7032051324844362
random20_true,random20 · true,random20,true,loss_total,31,1018,0.38058703525215093,0.28155799210071564,0.17307850420475007,0.6958404481410982
random20_true,random20 · true,random20,true,loss_total,32,1018,0.3653015759435056,0.2740600109100342,0.1706055298447609,0.6801979005336762
random20_true,random20 · true,random20,true,loss_total,33,1018,0.3653780360484756,0.27820897102355957,0.173124960064888,0.6779490470886231
random20_true,random20 · true,random20,true,loss_total,34,1018,0.3605736658811452,0.27084578573703766,0.16726912260055543,0.6417786359786989
random20_true,random20 · true,random20,true,loss_total,35,1018,0.35532518695081144,0.2692437618970871,0.16687277257442473,0.6580806493759156
random20_true,random20 · true,random20,true,loss_total,36,1018,0.35377362465635964,0.2633974999189377,0.16837649345397948,0.6323668360710145
random20_true,random20 · true,random20,true,loss_total,37,1018,0.35878458849661243,0.2649399936199188,0.16399085223674775,0.6610733866691597
random20_true,random20 · true,random20,true,loss_total,38,1018,0.34536786119806745,0.25311803817749023,0.16512347459793092,0.6265373945236207
random20_true,random20 · true,random20,true,loss_total,39,1018,0.34673514293986124,0.25875039398670197,0.16033696085214616,0.6212090194225313
random20_true,random20 · true,random20,true,loss_total,40,1018,0.3529102278320752,0.2556116282939911,0.16211900413036345,0.6663529098033908
random20_true,random20 · true,random20,true,loss_total,41,1018,0.33315916938344947,0.25302404165267944,0.15505723804235458,0.5987403631210328
random20_true,random20 · true,random20,true,loss_total,42,1018,0.33508976573062316,0.24705368280410767,0.15715707689523697,0.6222385764122011
random20_true,random20 · true,random20,true,loss_total,43,1018,0.3449425098059922,0.2431030571460724,0.15761156082153321,0.6671831846237187
random20_true,random20 · true,random20,true,loss_total,44,1018,0.34461298762785897,0.24478550255298615,0.1542897865176201,0.641146701574326
random20_true,random20 · true,random20,true,loss_total,45,1018,0.32732854686926294,0.24343755096197128,0.15371657460927962,0.5961523413658143
random20_true,random20 · true,random20,true,loss_total,46,1018,0.3187490981328347,0.24689539521932602,0.1564011424779892,0.5772014677524568
random20_true,random20 · true,random20,true,loss_total,47,1018,0.3352756021079591,0.24135378748178482,0.1603681892156601,0.6261499822139744
random20_true,random20 · true,random20,true,loss_total,48,1018,0.32722610443801214,0.24202743917703629,0.15651329457759858,0.5855249106884003
random20_true,random20 · true,random20,true,loss_total,49,1018,0.3321033680485836,0.24141983687877655,0.1542086273431778,0.6076998233795169
random20_true,random20 · true,random20,true,loss_total,50,1018,0.3288325838861742,0.25138717889785767,0.15770100951194763,0.581414955854416
random20_true,random20 · true,random20,true,loss_total,51,1018,0.33403358328904525,0.24391032755374908,0.15584493726491927,0.6246117472648621
