run_key,model,diagnostic,step,epoch,block_mean
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,45999,36.449286846275754,0.007403657056158409
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,46499,36.84548335974643,0.008281901135400404
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,46999,37.241679873217116,0.008023553034756332
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,47499,37.6378763866878,0.00699447847425472
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,47999,38.03407290015848,0.007423657687788364
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,48499,38.43026941362916,0.007301113196124788
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,48999,38.82646592709984,0.007274735735612921
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,49499,39.222662440570524,0.007008945211302489
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,49999,39.6188589540412,0.006847168574982789
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,50499,40.015055467511885,0.007608724540623371
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,50999,40.41125198098257,0.0073214501551701686
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,51499,40.80744849445325,0.007055653083021753
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,51999,41.20364500792393,0.007288748841267079
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,52499,41.59984152139461,0.007415577604086138
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,52999,41.99603803486529,0.0065682646313798615
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,53499,42.39223454833598,0.0070024121494498106
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,53999,42.788431061806655,0.006638050839072093
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,54499,43.18462757527734,0.007487633746990468
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,54999,43.58082408874802,0.00687848673487315
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,55499,43.9770206022187,0.006894704782345798
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,55999,44.37321711568938,0.007489673936041072
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,56499,44.76941362916006,0.0065537826158688405
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,56999,45.16561014263075,0.006612199174473062
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,57499,45.561806656101425,0.006247988186427392
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,57999,45.95800316957211,0.007316677071736194
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,58499,46.354199683042786,0.006829234966193326
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,58999,46.75039619651347,0.006224776863062289
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,59499,47.146592709984155,0.007290026239235885
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,59999,47.54278922345483,0.006083429861348123
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,60499,47.93898573692552,0.006581378080649301
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,60999,48.335182250396194,0.007302201146027074
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,61499,48.73137876386688,0.006869072294095531
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,61999,49.12757527733756,0.006940837651549373
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,62499,49.52377179080824,0.0069300134559453
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,62999,49.919968304278925,0.006911891888012178
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,63499,50.3161648177496,0.007175083955051377
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,63999,50.712361331220286,0.006657934724818915
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,64499,51.108557844690964,0.007167177223076578
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,64999,51.50475435816165,0.006831164544215426
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,65499,51.90095087163233,0.0065553737829905
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,65999,52.29714738510301,0.0066732206277665684
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,66499,52.693343898573694,0.007437044507532846
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,66999,53.08954041204437,0.007097850236925296
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,67499,53.485736925515056,0.00715539618243929
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,67999,53.88193343898574,0.00719347205242957
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,68499,54.27812995245642,0.00662134721543407
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,68999,54.6743264659271,0.006603945402632235
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,69499,55.07052297939778,0.00719523621170083
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,69999,55.466719492868464,0.006845165958686266
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,70499,55.86291600633914,0.006530043974053114
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,70999,56.259112519809825,0.006474624037102331
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,71499,56.65530903328051,0.006520622051903046
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,71999,57.05150554675119,0.006141365048242733
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,72499,57.44770206022187,0.0072208926430903375
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,72999,57.84389857369255,0.006847569807840045
a1_corrected_twc,A1-order + corrected-TWC,loss_twc,73499,58.24009508716323,0.007007086454425007
