run,metric,epoch,batch_count,mean,min,max,all_finite
Full,ct_foreground_points,14,1262,28.940322900158478,4.75,67.5625,True
Full,ct_foreground_points,15,1262,29.076515451664026,5.0,71.0,True
Full,ct_foreground_points,16,1262,29.22692155309033,5.5625,68.9375,True
Full,ct_foreground_points,17,1262,29.14099643423138,5.4375,76.1875,True
Full,ct_foreground_points,18,1262,28.880249603803488,4.6875,76.875,True
Full,ct_foreground_points,19,1262,28.920166402535656,5.875,70.625,True
Full,ct_foreground_points,20,1262,29.186261885895405,3.6875,68.125,True
Full,ct_foreground_points,21,1262,29.019066957210775,5.875,73.8125,True
Full,ct_foreground_points,22,1262,28.92625792393027,5.25,65.25,True
Full,ct_foreground_points,23,1262,28.833151743264658,5.4375,69.875,True
Full,ct_foreground_points,24,1262,29.251485736925517,4.375,70.875,True
Full,ct_foreground_points,25,1262,28.994601822503963,3.5625,74.3125,True
Full,ct_foreground_points,26,1262,28.820869651347067,5.1875,70.125,True
Full,ct_foreground_points,27,1262,29.24856378763867,7.6875,78.875,True
Full,ct_foreground_points,28,1262,28.95463549920761,2.8125,74.0,True
Full,ct_foreground_points,29,1262,29.385647781299525,6.375,67.6875,True
Full,ct_foreground_points,30,1262,29.088698494453247,4.5,70.5625,True
Full,ct_foreground_points,31,1262,28.943244849445325,4.3125,64.6875,True
Full,ct_foreground_points,32,1262,28.928783676703645,2.9375,74.75,True
Full,ct_foreground_points,33,1262,29.144463153724246,5.375,69.75,True
Full,ct_foreground_points,34,1262,29.046454041204438,5.5625,68.6875,True
Full,ct_foreground_points,35,1262,29.119651347068146,6.1875,75.125,True
Full,ct_foreground_points,36,1262,28.911994849445325,6.6875,66.125,True
Full,ct_foreground_points,37,1262,28.996731378763865,6.375,81.375,True
Full,ct_foreground_points,38,1262,29.042690174326466,5.625,70.9375,True
Full,ct_foreground_points,39,1262,29.16565966719493,3.625,67.5625,True
Full,ct_foreground_points,40,1262,28.95458597464342,3.9375,73.4375,True
Full,ct_foreground_points,41,1262,28.873761885895405,3.9375,70.125,True
Full,ct_foreground_points,42,1262,29.006784865293184,5.5,70.9375,True
Full,ct_foreground_points,43,1262,29.19022385103011,5.375,71.625,True
Full,ct_foreground_points,44,1262,28.89877179080824,4.6875,69.1875,True
Full,ct_foreground_points,45,1262,28.95017828843106,4.8125,77.0625,True
Full,ct_foreground_points,46,1262,29.17046354992076,4.875,73.5625,True
Full,ct_foreground_points,47,1262,29.013569730586372,5.5,74.9375,True
Full,ct_foreground_points,48,1262,29.10410063391442,5.0625,68.5625,True
Full,ct_foreground_points,49,1262,29.10900356576862,5.25,73.125,True
Full,ct_foreground_points,50,1262,29.022781299524564,5.375,76.5625,True
Full,ct_foreground_points,51,1262,29.019314580031697,5.875,75.75,True
