model,metric,point_idx,epoch,step,value
CT-SeqTrack A2-order-dyn 180ep,precision/test,26,135,170370,36.124725341796875
CT-SeqTrack A2-order-dyn 180ep,precision/test,27,140,176680,33.93763732910156
CT-SeqTrack A2-order-dyn 180ep,precision/test,28,145,182990,33.98358917236328
CT-SeqTrack A2-order-dyn 180ep,precision/test,29,150,189300,35.72866439819336
CT-SeqTrack A2-order-dyn 180ep,precision/test,30,155,195610,34.18927764892578
CT-SeqTrack A2-order-dyn 180ep,precision/test,31,160,201920,35.54704666137695
CT-SeqTrack A2-order-dyn 180ep,precision/test,32,165,208230,33.84901428222656
CT-SeqTrack A2-order-dyn 180ep,precision/test,33,170,214540,32.87199020385742
CT-SeqTrack A2-order-dyn 180ep,precision/test,34,175,220850,33.80634689331055
CT-SeqTrack A2-order-dyn 180ep,precision/test,35,180,227160,34.40918731689453
CT-SeqTrack A3-conf-res-gate 180ep,success/test,0,5,6310,29.517507553100586
CT-SeqTrack A3-conf-res-gate 180ep,success/test,1,10,12620,30.12801170349121
CT-SeqTrack A3-conf-res-gate 180ep,success/test,2,15,18930,29.410287857055664
CT-SeqTrack A3-conf-res-gate 180ep,success/test,3,20,25240,20.92669677734375
CT-SeqTrack A3-conf-res-gate 180ep,success/test,4,25,31550,24.421226501464844
CT-SeqTrack A3-conf-res-gate 180ep,success/test,5,30,37860,26.11488151550293
CT-SeqTrack A3-conf-res-gate 180ep,success/test,6,35,44170,25.495624542236328
CT-SeqTrack A3-conf-res-gate 180ep,success/test,7,40,50480,28.460613250732422
CT-SeqTrack A3-conf-res-gate 180ep,success/test,8,45,56790,27.6487979888916
CT-SeqTrack A3-conf-res-gate 180ep,success/test,9,50,63100,28.35995864868164
CT-SeqTrack A3-conf-res-gate 180ep,success/test,10,55,69410,28.117069244384766
CT-SeqTrack A3-conf-res-gate 180ep,success/test,11,60,75720,28.469362258911133
CT-SeqTrack A3-conf-res-gate 180ep,success/test,12,65,82030,29.7647705078125
CT-SeqTrack A3-conf-res-gate 180ep,success/test,13,70,88340,28.272428512573242
CT-SeqTrack A3-conf-res-gate 180ep,success/test,14,75,94650,28.952957153320312
CT-SeqTrack A3-conf-res-gate 180ep,success/test,15,80,100960,28.0579891204834
CT-SeqTrack A3-conf-res-gate 180ep,success/test,16,85,107270,28.5897159576416
CT-SeqTrack A3-conf-res-gate 180ep,success/test,17,90,113580,27.664112091064453
CT-SeqTrack A3-conf-res-gate 180ep,success/test,18,95,119890,29.276805877685547
CT-SeqTrack A3-conf-res-gate 180ep,success/test,19,100,126200,28.24179458618164
CT-SeqTrack A3-conf-res-gate 180ep,success/test,20,105,132510,28.74945640563965
CT-SeqTrack A3-conf-res-gate 180ep,success/test,21,110,138820,28.110504150390625
CT-SeqTrack A3-conf-res-gate 180ep,success/test,22,115,145130,27.738513946533203
CT-SeqTrack A3-conf-res-gate 180ep,success/test,23,120,151440,27.876367568969727
CT-SeqTrack A3-conf-res-gate 180ep,success/test,24,125,157750,27.961708068847656
CT-SeqTrack A3-conf-res-gate 180ep,success/test,25,130,164060,27.876371383666992
CT-SeqTrack A3-conf-res-gate 180ep,success/test,26,135,170370,28.985776901245117
CT-SeqTrack A3-conf-res-gate 180ep,success/test,27,140,176680,28.517505645751953
CT-SeqTrack A3-conf-res-gate 180ep,success/test,28,145,182990,28.937637329101562
CT-SeqTrack A3-conf-res-gate 180ep,success/test,29,150,189300,28.891685485839844
CT-SeqTrack A3-conf-res-gate 180ep,success/test,30,155,195610,28.309627532958984
CT-SeqTrack A3-conf-res-gate 180ep,success/test,31,160,201920,28.176149368286133
CT-SeqTrack A3-conf-res-gate 180ep,success/test,32,165,208230,28.447484970092773
CT-SeqTrack A3-conf-res-gate 180ep,success/test,33,170,214540,27.769145965576172
CT-SeqTrack A3-conf-res-gate 180ep,success/test,34,175,220850,28.07549285888672
CT-SeqTrack A3-conf-res-gate 180ep,success/test,35,180,227160,28.464990615844727
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,0,5,6310,35.596282958984375
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,1,10,12620,30.89059066772461
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,2,15,18930,29.417943954467773
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,3,20,25240,21.89387321472168
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,4,25,31550,23.106128692626953
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,5,30,37860,25.159740447998047
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,6,35,44170,24.39934539794922
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,7,40,50480,27.211158752441406
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,8,45,56790,26.007658004760742
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,9,50,63100,26.984682083129883
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,10,55,69410,27.025163650512695
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,11,60,75720,27.297592163085938
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,12,65,82030,28.294313430786133
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,13,70,88340,26.97374153137207
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,14,75,94650,27.5
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,15,80,100960,26.537200927734375
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,16,85,107270,27.378555297851562
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,17,90,113580,26.39715576171875
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,18,95,119890,27.559080123901367
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,19,100,126200,27.265865325927734
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,20,105,132510,27.308536529541016
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,21,110,138820,26.667394638061523
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,22,115,145130,26.346826553344727
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,23,120,151440,26.346826553344727
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,24,125,157750,26.783370971679688
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,25,130,164060,26.431072235107422
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,26,135,170370,27.5601749420166
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,27,140,176680,26.638948440551758
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,28,145,182990,27.87308692932129
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,29,150,189300,27.594093322753906
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,30,155,195610,26.974836349487305
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,31,160,201920,26.564550399780273
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,32,165,208230,27.33370018005371
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,33,170,214540,25.964990615844727
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,34,175,220850,25.82166290283203
CT-SeqTrack A3-conf-res-gate 180ep,precision/test,35,180,227160,27.277902603149414
