group_key,group_name,protocol,item_order,source,source_model,display_model,role,metric,epoch,step,value
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,10,12619,43.05580520629883
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,15,18929,43.35120391845703
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,20,25239,39.90481948852539
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,25,31549,45.35995864868164
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,30,37859,44.16302108764648
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,35,44169,44.14332962036133
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,40,50479,43.41028594970703
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,45,56789,44.44092178344727
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,50,63099,45.02516555786133
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,55,69409,44.559078216552734
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,success/test,60,75719,45.26586532592773
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,5,6309,24.57877349853516
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,10,12619,49.05251693725586
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,15,18929,57.15426635742188
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,20,25239,39.89934539794922
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,25,31549,58.852298736572266
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,30,37859,55.40919494628906
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,35,44169,54.3807373046875
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,40,50479,56.13129806518555
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,45,56789,57.12582015991211
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,50,63099,57.5612678527832
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,55,69409,57.185997009277344
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,2,main,A2 Dynamics,A2 raw-dyn,variant,precision/test,60,75719,58.83151245117188
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,5,6309,44.9376
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,10,12619,25.419
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,15,18929,24.233
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,20,25239,22.8063
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,25,31549,44.9836
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,30,37859,41.4344
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,35,44169,40.6707
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,40,50479,28.3534
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,45,56789,32.1433
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,50,63099,38.8829
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,55,69409,25.7123
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,success/test,60,75719,31.1937
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,5,6309,62.512
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,10,12619,23.3228
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,15,18929,24.2166
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,20,25239,21.581
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,25,31549,49.4934
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,30,37859,45.3512
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,35,44169,46.4147
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,40,50479,27.2899
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,45,56789,33.2473
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,50,63099,43.9398
main_a1_a2_p5_60ep,Main A1/A2/P5 Progression (60ep),60ep seed42 nuScenes-mini,3,main,CT P5 full,P5 full,variant,precision/test,55,69409,23.8162
