group_key,group_name,protocol,item_order,source,source_model,display_model,role,metric,final,final_epoch,final_step,best,best_epoch,best_step,best_final_gap,mean,std,baseline_final,baseline_best,final_delta_vs_group_baseline,best_delta_vs_group_baseline,note
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,2,scaled,A2-scaled-dyn,A2 scaled-dyn,variant,success/test,29.410287857055664,60,75719,39.99671936035156,10,12619,10.586431503295898,31.00802453358968,3.17913608363769,50.9858,52.2834,-21.575512142944334,-12.286680639648438,scaled real time + dynamics
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,2,scaled,A2-scaled-dyn,A2 scaled-dyn,variant,precision/test,31.51422119140625,60,75719,43.676151275634766,10,12619,12.161930084228516,33.23842175801595,4.168325110637,59.9617,65.2144,-28.44747880859375,-21.538248724365232,scaled real time + dynamics
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,3,order,A2-order-dyn,A2 order-dyn seed42,variant,success/test,50.961708068847656,60,75719,51.54158020019531,45,56789,0.5798721313476562,46.82768154144287,6.5464876965080885,50.9858,52.2834,-0.024091931152341317,-0.7418197998046878,order main branch + dynamics
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,3,order,A2-order-dyn,A2 order-dyn seed42,variant,precision/test,63.31401062011719,60,75719,63.573307037353516,10,12619,0.2592964172363281,57.76294803619385,9.903122816696325,59.9617,65.2144,3.352310620117187,-1.641092962646482,order main branch + dynamics
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,4,cand_disp,A2-order-dyn-cand1,A2 cand1,variant,success/test,26.677244186401367,60,18899,41.98577880859375,10,3149,15.308534622192383,30.446207523345947,5.18410389096195,50.9858,52.2834,-24.30855581359863,-10.29762119140625,"num_candidates=1, not step-aligned"
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,4,cand_disp,A2-order-dyn-cand1,A2 cand1,variant,precision/test,24.4989070892334,60,18899,54.624725341796875,5,1574,30.125818252563477,31.58980719248454,9.682322576827923,59.9617,65.2144,-35.4627929107666,-10.589674658203123,"num_candidates=1, not step-aligned"
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,5,cand_disp,A2-order-dyn-disp,A2 dyn+disp,variant,success/test,50.54157257080078,60,75719,52.44091796875,10,12619,1.8993453979492188,44.80178769429525,8.62945953432044,50.9858,52.2834,-0.4442274291992163,0.15751796874999968,small dynamics displacement loss
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,5,cand_disp,A2-order-dyn-disp,A2 dyn+disp,variant,precision/test,63.847923278808594,60,75719,64.80853271484375,40,50479,0.9606094360351562,54.72967020670573,13.082238079973898,59.9617,65.2144,3.8862232788085933,-0.4058672851562477,small dynamics displacement loss
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,6,twc_gate,A2-order-dyn+TWC,A2 dyn+TWC .05,variant,success/test,28.230854034423828,60,75720,45.235233306884766,10,12620,17.004379272460938,30.535558541615803,5.459001726774436,50.9858,52.2834,-22.75494596557617,-7.048166693115235,active TWC weight 0.05
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,6,twc_gate,A2-order-dyn+TWC,A2 dyn+TWC .05,variant,precision/test,32.03719711303711,60,75720,57.432167053222656,5,6310,25.394969940185547,35.40682125091553,9.369713042117263,59.9617,65.2144,-27.92450288696289,-7.7822329467773415,active TWC weight 0.05
a2_dynamics_variants_60ep,A2 Dynamics Variants (60ep),60ep nuScenes-mini; cand1 has fewer optimizer steps,7,latest,A2-order-dyn+TWC w0.01 seed42,A2 dyn+TWC .01,variant,success/test,22.878559112548828,60,75720,30.26805305480957,5,6310,7.389493942260742,24.34555196762085,2.4349393419002197,50.9858,52.2834,-28.10724088745117,-22.01534694519043,active TWC weight 0.01
