run_order,run_key,source_model,display_model,metric,epoch,step,value
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,5,6310,30.75820541381836
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,10,12620,31.049236297607422
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,15,18930,25.806346893310547
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,20,25240,25.24179458618164
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,25,31550,28.902626037597656
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,30,37860,27.913570404052734
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,35,44170,28.57877540588379
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,40,50480,34.545955657958984
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,45,56790,32.21990966796875
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,50,63100,32.07768249511719
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,55,69410,31.756019592285156
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,success/test,60,75720,32.10612869262695
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,5,6310,32.32823181152344
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,10,12620,36.50437545776367
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,15,18930,25.237417221069336
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,20,25240,23.65864372253418
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,25,31550,26.963895797729492
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,30,37860,26.63129234313965
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,35,44170,27.62582015991211
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,40,50480,35.736324310302734
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,45,56790,31.842449188232422
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,50,63100,31.618165969848633
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,55,69410,31.649887084960938
5,a3_conf_res_rerun_seed42,A3-conf-res rerun seed42,A3 conf-res rerun,precision/test,60,75720,31.87417984008789
