epoch,value,points,metric,run_id,run
29,0.23088382029531024,1262,Center endpoint gap (m),B,M3-w0
30,0.22976273445563064,1262,Center endpoint gap (m),B,M3-w0
31,0.2301661815382127,1262,Center endpoint gap (m),B,M3-w0
32,0.22990454816319958,1262,Center endpoint gap (m),B,M3-w0
33,0.22971158519257362,1262,Center endpoint gap (m),B,M3-w0
34,0.22913241996274886,1262,Center endpoint gap (m),B,M3-w0
35,0.2288143289955879,1262,Center endpoint gap (m),B,M3-w0
36,0.22237214477062697,1262,Center endpoint gap (m),B,M3-w0
37,0.22763309494345765,1262,Center endpoint gap (m),B,M3-w0
38,0.2288014747515297,1262,Center endpoint gap (m),B,M3-w0
39,0.226589011028409,1262,Center endpoint gap (m),B,M3-w0
40,0.22366636619857394,1262,Center endpoint gap (m),B,M3-w0
41,0.22393939721733094,1262,Center endpoint gap (m),B,M3-w0
42,0.22729831544325205,1262,Center endpoint gap (m),B,M3-w0
43,0.2262746204316569,1262,Center endpoint gap (m),B,M3-w0
44,0.2240715693431289,534,Center endpoint gap (m),B,M3-w0
1,1.0764899030416353,1262,Yaw endpoint gap (rad),B,M3-w0
2,0.18497868922204017,1262,Yaw endpoint gap (rad),B,M3-w0
3,0.11684587506338269,1262,Yaw endpoint gap (rad),B,M3-w0
4,0.07341204986283216,1262,Yaw endpoint gap (rad),B,M3-w0
5,0.05970173248675801,1262,Yaw endpoint gap (rad),B,M3-w0
6,0.04607651887015807,1262,Yaw endpoint gap (rad),B,M3-w0
7,0.04058071982304429,1262,Yaw endpoint gap (rad),B,M3-w0
8,0.03652125201298724,1262,Yaw endpoint gap (rad),B,M3-w0
9,0.03504970306811025,1262,Yaw endpoint gap (rad),B,M3-w0
10,0.03200471445861997,1262,Yaw endpoint gap (rad),B,M3-w0
11,0.031870990001969926,1262,Yaw endpoint gap (rad),B,M3-w0
12,0.031191159418685194,1262,Yaw endpoint gap (rad),B,M3-w0
13,0.030409979464253042,1262,Yaw endpoint gap (rad),B,M3-w0
14,0.029713293928254496,1262,Yaw endpoint gap (rad),B,M3-w0
15,0.029233446559852518,1262,Yaw endpoint gap (rad),B,M3-w0
16,0.02754744836210425,1262,Yaw endpoint gap (rad),B,M3-w0
17,0.02842623535610098,1262,Yaw endpoint gap (rad),B,M3-w0
18,0.026871698862015493,1262,Yaw endpoint gap (rad),B,M3-w0
19,0.026314228223695783,1262,Yaw endpoint gap (rad),B,M3-w0
20,0.025826485551932087,1262,Yaw endpoint gap (rad),B,M3-w0
21,0.01306765147454582,1262,Yaw endpoint gap (rad),B,M3-w0
22,0.012756410897628252,1262,Yaw endpoint gap (rad),B,M3-w0
23,0.01260739367008032,1262,Yaw endpoint gap (rad),B,M3-w0
24,0.012223677387665485,1262,Yaw endpoint gap (rad),B,M3-w0
25,0.012643767175413727,1262,Yaw endpoint gap (rad),B,M3-w0
26,0.012667722848027047,1262,Yaw endpoint gap (rad),B,M3-w0
27,0.012466578324075947,1262,Yaw endpoint gap (rad),B,M3-w0
28,0.012317401023984558,1262,Yaw endpoint gap (rad),B,M3-w0
29,0.012632085774949916,1262,Yaw endpoint gap (rad),B,M3-w0
30,0.012594071705235249,1262,Yaw endpoint gap (rad),B,M3-w0
31,0.013043734107001223,1262,Yaw endpoint gap (rad),B,M3-w0
32,0.013001525552652587,1262,Yaw endpoint gap (rad),B,M3-w0
33,0.012579778487360173,1262,Yaw endpoint gap (rad),B,M3-w0
34,0.012479777558575341,1262,Yaw endpoint gap (rad),B,M3-w0
35,0.012742992183533032,1262,Yaw endpoint gap (rad),B,M3-w0
36,0.012577756522215974,1262,Yaw endpoint gap (rad),B,M3-w0
37,0.012517082764510296,1262,Yaw endpoint gap (rad),B,M3-w0
38,0.012837416627267213,1262,Yaw endpoint gap (rad),B,M3-w0
39,0.01260526119192646,1262,Yaw endpoint gap (rad),B,M3-w0
40,0.01213285919199897,1262,Yaw endpoint gap (rad),B,M3-w0
41,0.010693034802145795,1262,Yaw endpoint gap (rad),B,M3-w0
42,0.010848433357975616,1262,Yaw endpoint gap (rad),B,M3-w0
43,0.010863701575295483,1262,Yaw endpoint gap (rad),B,M3-w0
44,0.010799033006105758,541,Yaw endpoint gap (rad),B,M3-w0
1,0.7492571315372425,1262,Valid pair ratio,B,M3-w0
2,0.7489104595879557,1262,Valid pair ratio,B,M3-w0
3,0.7499504754358162,1262,Valid pair ratio,B,M3-w0
4,0.749702852614897,1262,Valid pair ratio,B,M3-w0
5,0.7477218700475435,1262,Valid pair ratio,B,M3-w0
6,0.750891442155309,1262,Valid pair ratio,B,M3-w0
7,0.7498514263074485,1262,Valid pair ratio,B,M3-w0
8,0.7493066561014263,1262,Valid pair ratio,B,M3-w0
9,0.7509409667194928,1262,Valid pair ratio,B,M3-w0
10,0.7492076069730587,1262,Valid pair ratio,B,M3-w0
11,0.7498019017432647,1262,Valid pair ratio,B,M3-w0
12,0.751188589540412,1262,Valid pair ratio,B,M3-w0
13,0.748217115689382,1262,Valid pair ratio,B,M3-w0
14,0.7486628367670365,1262,Valid pair ratio,B,M3-w0
15,0.7518324088748018,1262,Valid pair ratio,B,M3-w0
16,0.7484647385103012,1262,Valid pair ratio,B,M3-w0
17,0.75,1262,Valid pair ratio,B,M3-w0
18,0.7520305071315373,1262,Valid pair ratio,B,M3-w0
19,0.7522286053882726,1262,Valid pair ratio,B,M3-w0
20,0.7498019017432647,1262,Valid pair ratio,B,M3-w0
21,0.7503466719492868,1262,Valid pair ratio,B,M3-w0
22,0.7495542789223455,1262,Valid pair ratio,B,M3-w0
23,0.7491580824088748,1262,Valid pair ratio,B,M3-w0
24,0.7511390649762282,1262,Valid pair ratio,B,M3-w0
25,0.750891442155309,1262,Valid pair ratio,B,M3-w0
26,0.748811410459588,1262,Valid pair ratio,B,M3-w0
27,0.7505447702060222,1262,Valid pair ratio,B,M3-w0
28,0.750594294770206,1262,Valid pair ratio,B,M3-w0
29,0.7490095087163233,1262,Valid pair ratio,B,M3-w0
30,0.7491580824088748,1262,Valid pair ratio,B,M3-w0
31,0.7492076069730587,1262,Valid pair ratio,B,M3-w0
32,0.7490095087163233,1262,Valid pair ratio,B,M3-w0
33,0.7519314580031695,1262,Valid pair ratio,B,M3-w0
34,0.7498514263074485,1262,Valid pair ratio,B,M3-w0
35,0.753318145800317,1262,Valid pair ratio,B,M3-w0
36,0.7499504754358162,1262,Valid pair ratio,B,M3-w0
37,0.7498019017432647,1262,Valid pair ratio,B,M3-w0
38,0.7479694928684627,1262,Valid pair ratio,B,M3-w0
39,0.7518819334389857,1262,Valid pair ratio,B,M3-w0
40,0.751188589540412,1262,Valid pair ratio,B,M3-w0
41,0.7515352614896988,1262,Valid pair ratio,B,M3-w0
42,0.751485736925515,1262,Valid pair ratio,B,M3-w0
43,0.7512381141045958,1262,Valid pair ratio,B,M3-w0
44,0.7441081330868762,541,Valid pair ratio,B,M3-w0
1,0.26495826936868594,1262,Teacher confidence,B,M3-w0
2,0.6438317548383246,1262,Teacher confidence,B,M3-w0
3,0.7885104098524042,1262,Teacher confidence,B,M3-w0
4,0.8058731775087336,1262,Teacher confidence,B,M3-w0
5,0.8182678413938985,1262,Teacher confidence,B,M3-w0
6,0.8267492537642054,1262,Teacher confidence,B,M3-w0
7,0.8229965995495369,1262,Teacher confidence,B,M3-w0
8,0.8232649874573842,1262,Teacher confidence,B,M3-w0
9,0.8197491947567406,1262,Teacher confidence,B,M3-w0
10,0.822014766336432,1262,Teacher confidence,B,M3-w0
11,0.8226010549795798,1262,Teacher confidence,B,M3-w0
12,0.8248463836033635,1262,Teacher confidence,B,M3-w0
13,0.8273222113468001,1262,Teacher confidence,B,M3-w0
14,0.82716318084113,1262,Teacher confidence,B,M3-w0
15,0.8283171291963423,1262,Teacher confidence,B,M3-w0
16,0.8274833287943373,1262,Teacher confidence,B,M3-w0
17,0.8288668468948779,1262,Teacher confidence,B,M3-w0
18,0.8316034955664784,1262,Teacher confidence,B,M3-w0
19,0.8320267596259926,1262,Teacher confidence,B,M3-w0
20,0.8315510525945249,1262,Teacher confidence,B,M3-w0
21,0.8339162254248481,1262,Teacher confidence,B,M3-w0
22,0.8310557008025763,1262,Teacher confidence,B,M3-w0
23,0.8332246339831224,1262,Teacher confidence,B,M3-w0
24,0.8311901500126828,1262,Teacher confidence,B,M3-w0
25,0.8323398559293732,1262,Teacher confidence,B,M3-w0
26,0.8340945574683735,1262,Teacher confidence,B,M3-w0
27,0.8345891566926439,1262,Teacher confidence,B,M3-w0
28,0.8338678424407487,1262,Teacher confidence,B,M3-w0
29,0.8331559231466423,1262,Teacher confidence,B,M3-w0
30,0.8354261744230183,1262,Teacher confidence,B,M3-w0
31,0.8351557712216763,1262,Teacher confidence,B,M3-w0
32,0.8354009133180612,1262,Teacher confidence,B,M3-w0
33,0.8353785753911346,1262,Teacher confidence,B,M3-w0
34,0.8348260774570864,1262,Teacher confidence,B,M3-w0
35,0.8342667355920924,1262,Teacher confidence,B,M3-w0
36,0.8340482509646288,1262,Teacher confidence,B,M3-w0
37,0.8331074078704589,1262,Teacher confidence,B,M3-w0
38,0.8322961760918047,1262,Teacher confidence,B,M3-w0
39,0.8346742289568845,1262,Teacher confidence,B,M3-w0
40,0.8338260904497654,1262,Teacher confidence,B,M3-w0
41,0.836119891653537,1262,Teacher confidence,B,M3-w0
42,0.8344392793492168,1262,Teacher confidence,B,M3-w0
43,0.8332588803465883,1262,Teacher confidence,B,M3-w0
44,0.839350897051629,539,Teacher confidence,B,M3-w0
1,0.1980224538745031,1262,Effective sample weight,B,M3-w0
2,0.48226139738730694,1262,Effective sample weight,B,M3-w0
3,0.5913299008046768,1262,Effective sample weight,B,M3-w0
4,0.6043754874384725,1262,Effective sample weight,B,M3-w0
5,0.6118095740439775,1262,Effective sample weight,B,M3-w0
6,0.6210560537697585,1262,Effective sample weight,B,M3-w0
7,0.6173589801778884,1262,Effective sample weight,B,M3-w0
8,0.6167761672364929,1262,Effective sample weight,B,M3-w0
9,0.6158351546091436,1262,Effective sample weight,B,M3-w0
10,0.6162366336196803,1262,Effective sample weight,B,M3-w0
11,0.6162613332507727,1262,Effective sample weight,B,M3-w0
12,0.6190036622166822,1262,Effective sample weight,B,M3-w0
13,0.6187823534295223,1262,Effective sample weight,B,M3-w0
14,0.6193838385649604,1262,Effective sample weight,B,M3-w0
15,0.6226753806680583,1262,Effective sample weight,B,M3-w0
