protocol,model,metric,point_idx,epoch,step,value,run_dir
burst_drop,A1-order,precision/test,3,20,14120,65.14388275146484,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,4,25,17650,65.7533950805664,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,5,30,21180,68.93486022949219,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,6,35,24710,66.21102905273438,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,7,40,28240,69.08473205566406,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,8,45,31770,65.07594299316406,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,9,50,35300,66.39688110351562,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,10,55,38830,67.54795837402344,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A1-order,precision/test,11,60,42360,69.27658081054688,20260714-1343-seqtrack3d_nuscenes_a1_order_vr_burst_drop-htv_burst_drop_a1_order_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,0,5,3530,29.698240280151367,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,1,10,7060,42.607913970947266,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,2,15,10590,39.69424819946289,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,3,20,14120,39.01478958129883,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,4,25,17650,46.54476547241211,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,5,30,21180,42.52798080444336,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,6,35,24710,44.202640533447266,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,7,40,28240,51.22501754760742,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,8,45,31770,46.4328498840332,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,9,50,35300,47.41207504272461,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,10,55,38830,47.22422790527344,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,success/test,11,60,42360,49.8980827331543,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,0,5,3530,27.999601364135742,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,1,10,7060,47.1602668762207,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,2,15,10590,53.71502685546875,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,3,20,14120,39.05076217651367,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,4,25,17650,46.946441650390625,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,5,30,21180,41.99839782714844,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
burst_drop,A2-order-dyn,precision/test,6,35,24710,45.34172821044922,20260714-1343-seqtrack3d_nuscenes_a2_order_dyn_vr_burst_drop-htv_burst_drop_a2_order_dyn_seed42_w12_60ep_bs16
