model,metric,point_idx,epoch,step,value
CT-SeqTrack A2-order-dyn 180ep,precision/test,11,60,75720,35.56236267089844
CT-SeqTrack A2-order-dyn 180ep,precision/test,12,65,82030,36.27461624145508
CT-SeqTrack A2-order-dyn 180ep,precision/test,13,70,88340,37.711158752441406
CT-SeqTrack A2-order-dyn 180ep,precision/test,14,75,94650,37.51641082763672
CT-SeqTrack A2-order-dyn 180ep,precision/test,15,80,100960,37.32604217529297
CT-SeqTrack A2-order-dyn 180ep,precision/test,16,85,107270,35.824947357177734
CT-SeqTrack A2-order-dyn 180ep,precision/test,17,90,113580,35.634578704833984
CT-SeqTrack A2-order-dyn 180ep,precision/test,18,95,119890,36.72428894042969
CT-SeqTrack A2-order-dyn 180ep,precision/test,19,100,126200,37.31181716918945
CT-SeqTrack A2-order-dyn 180ep,precision/test,20,105,132510,39.10721969604492
CT-SeqTrack A2-order-dyn 180ep,precision/test,21,110,138820,37.587528228759766
CT-SeqTrack A2-order-dyn 180ep,precision/test,22,115,145130,36.72428894042969
CT-SeqTrack A2-order-dyn 180ep,precision/test,23,120,151440,37.28227615356445
CT-SeqTrack A2-order-dyn 180ep,precision/test,24,125,157750,36.40481948852539
CT-SeqTrack A2-order-dyn 180ep,precision/test,25,130,164060,37.06017303466797
CT-SeqTrack A2-order-dyn 180ep,precision/test,26,135,170370,37.30306625366211
CT-SeqTrack A2-order-dyn 180ep,precision/test,27,140,176680,37.3205680847168
CT-SeqTrack A2-order-dyn 180ep,precision/test,28,145,182990,36.37746047973633
CT-SeqTrack A2-order-dyn 180ep,precision/test,29,150,189300,36.19365310668945
CT-SeqTrack A2-order-dyn 180ep,precision/test,30,155,195610,36.82713317871094
CT-SeqTrack A2-order-dyn 180ep,precision/test,31,160,201920,36.81838607788086
CT-SeqTrack A2-order-dyn 180ep,precision/test,32,165,208230,35.49562454223633
CT-SeqTrack A2-order-dyn 180ep,precision/test,33,170,214540,35.68052673339844
CT-SeqTrack A2-order-dyn 180ep,precision/test,34,175,220850,35.39715576171875
CT-SeqTrack A2-order-dyn 180ep,precision/test,35,180,227160,36.763675689697266
